Temp Sensor 1,Soil Moisture 1,Soil Moisture 2,Timestamp
25.6,61.9,66.7,1717357591990
25.6,61.9,66.7,1717357594990
25.6,61.6,66.6,1717357597992
25.6,61.6,66.6,1717357600992
25.6,61.9,66.7,1717357603991
25.6,61.9,66.7,1717357606990
25.6,61.7,66.6,1717357609992
25.6,61.7,66.6,1717357612886
25.6,61.8,66.6,1717357615992
25.6,61.8,66.6,1717357618991
25.6,61.9,66.7,1717357621991
25.6,61.9,66.7,1717357624992
25.6,61.8,66.7,1717357627990
25.6,61.8,66.7,1717357630992
25.6,61.8,66.8,1717357633992
25.6,61.7,66.7,1717357637351
25.6,61.7,66.7,1717357640352
25.6,61.7,66.7,1717357643246
25.6,61.7,66.7,1717357646351
25.6,62,66.8,1717357649352
25.6,62,66.8,1717357652351
25.6,61.7,66.8,1717357655351
25.6,61.7,66.8,1717357658352
25.6,61.8,66.7,1717357661352
25.6,61.8,66.7,1717357664352
25.6,61.9,66.8,1717357667351
25.6,61.9,66.8,1717357670353
25.6,61.7,66.8,1717357673247
25.6,61.7,66.8,1717357676355
25.6,61.8,66.7,1717357679352
25.6,61.7,66.6,1717357682712
25.6,61.7,66.6,1717357685711
25.6,61.8,66.6,1717357688713
25.6,61.8,66.6,1717357691713
25.5,61.8,66.7,1717357694712
25.5,61.8,66.7,1717357697712
25.6,61.6,66.5,1717357700713
25.6,61.6,66.5,1717357703614
25.5,61.8,66.7,1717357706713
25.5,61.8,66.7,1717357709713
25.5,61.8,66.8,1717357712712
25.5,61.8,66.8,1717357715712
25.5,61.8,66.7,1717357718713
25.5,61.8,66.7,1717357721713
25.6,61.8,66.7,1717357724714
25.6,61.8,66.6,1717357728074
25.6,61.8,66.6,1717357731073
25.5,61.8,66.6,1717357734072
25.5,61.8,66.6,1717357737072
25.5,61.8,66.7,1717357740073
25.5,61.8,66.7,1717357743073
25.5,61.7,66.7,1717357746072
25.5,61.7,66.7,1717357749073
25.5,61.7,66.7,1717357751968
25.5,61.7,66.7,1717357755073
25.5,61.7,66.7,1717357758072
25.5,61.7,66.7,1717357761073
25.5,61.9,66.6,1717357764073
25.5,61.9,66.6,1717357767073
25.5,61.9,66.7,1717357770073
25.5,61.7,66.5,1717357773433
25.5,61.7,66.5,1717357776433
25.5,61.9,66.7,1717357779434
25.5,61.9,66.7,1717357782434
25.5,61.9,66.8,1717357785433
25.5,61.9,66.8,1717357788433
25.5,61.9,66.6,1717357791433
25.5,61.9,66.6,1717357794433
25.5,61.8,66.7,1717357797329
25.5,61.8,66.7,1717357800433
25.5,61.8,66.8,1717357803433
25.5,61.8,66.8,1717357806433
25.5,61.7,66.7,1717357809433
25.5,61.7,66.7,1717357812435
25.5,61.8,66.6,1717357815434
25.5,61.9,66.6,1717357818794
25.5,61.9,66.6,1717357821793
25.5,61.8,66.7,1717357824794
25.5,61.8,66.7,1717357827689
25.5,61.7,66.7,1717357830794
25.5,61.7,66.7,1717357833795
25.5,61.8,66.7,1717357836795
25.5,61.8,66.7,1717357839794
25.5,61.7,66.7,1717357842793
25.5,61.7,66.7,1717357845794
25.5,61.8,66.7,1717357848795
